HairType,Keywords
CurlyHair,"curly, curl defining, curls, anti frizz, curl cream, curl activator, shea butter, curl enhancer, aloevera, sulphate free"
KinkyHair,"kinky, coarse hair, anti frizz, curls, curl defining, hydrating, castor oil, protein treatment, coconut oil, aloevera, almond oil, sulphate, dry"
StraightHair,"smoothing, smooth,soft, frizz control, heat protectant, silicone, shine enhancer, sleek, keratin, detangling spray, silky, oily, dandruff, moisturizing"
WavyHair,"wavy, frizz, lightweight, volumizing, beach waves, texturizing spray, humidity resistant,  almond oil, aloevera, dry, curl"
